parameter_set_id,parameter_group,parameter_name,index_id,value,unit,measure_scope,model_scope,is_market_data,calibration_status,effective_date,source_type,source_reference,source_url,code_constraint,validation,description
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,rho_sv,aus_equity,-0.60,correlation,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption_repo_anchor,"Retained unchanged from the repository base; economically inactive when xi=0",,-1<=value<=1;rho_sv_squared<=1-rho_sr_squared,"pass;inactive_when_xi=0",Retained equity-variance shock correlation at the constant-variance boundary
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,v0,global_equity,0.0225,variance_per_year,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,fixed_volatility_sensitivity,"Set equal to theta and 0.15 squared for the exact constant-variance boundary",,value>0,"pass;v0=theta=0.0225",Initial variance fixed at the global equity volatility anchor
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,theta,global_equity,0.0225,variance_per_year,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,fixed_volatility_sensitivity,"Set equal to v0 and 0.15 squared for the exact constant-variance boundary",,value>0,"pass;v0=theta=0.0225",Long-run variance equal to the initial global equity variance
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,kappa,global_equity,2.0,per_year,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption_repo_anchor,"Mean-reversion speed retained unchanged from the repository base; inactive when v0=theta and xi=0",,value>0,pass,Retained Heston mean-reversion speed at the constant-variance boundary
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,xi,global_equity,0.0,heston_vol_of_variance,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,fixed_volatility_sensitivity,"Exact xi=0 sensitivity boundary; not a market calibration",,"value>=0;if value=0 then v0=theta>0","pass;xi=0;fixed_variance_boundary",Volatility of variance disabled to produce constant global equity variance
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,rho_sv,global_equity,-0.65,correlation,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption_repo_anchor,"Retained unchanged from the repository base; economically inactive when xi=0",,-1<=value<=1;rho_sv_squared<=1-rho_sr_squared,"pass;inactive_when_xi=0",Retained equity-variance shock correlation at the constant-variance boundary
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,hull_white,mean_reversion,,0.10,per_year,both,hull_white_bs;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption,"A 10 percent mean-reversion speed is retained unchanged from the repository base",,value>0,"pass;half_life_years=6.9315",Hull-White one-factor mean-reversion speed
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,hull_white,sigma_r,,0.004,decimal_rate_per_sqrt_year,both,hull_white_bs;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,lower_rate_volatility_sensitivity,"Half of the 0.008 repository base proxy; not fitted to a swaption surface",,value>=0,"pass;one_year_OU_sd_approx=0.00381",Lower Hull-White short-rate factor volatility for this explicit sensitivity
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,hull_white,rho_sr,aus_equity,-0.20,correlation,both,hull_white_bs;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption_repo_anchor,"Rate-equity shock correlation retained unchanged from the repository base",,-1<value<1;joint_rate_equity_matrix_positive_definite,"pass;fixed_volatility_sensitivity",Hull-White short-rate to Australian-equity shock correlation
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,hull_white,rho_sr,global_equity,-0.20,correlation,both,hull_white_bs;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption_repo_anchor,"Rate-equity shock correlation retained unchanged from the repository base",,-1<value<1;joint_rate_equity_matrix_positive_definite,"pass;fixed_volatility_sensitivity",Hull-White short-rate to global-equity shock correlation
