assumption_set_id,component,phase,link,moneyness_transform,parameter_name,base_value,low_value,high_value,unit,effective_date,assumption_status,source_reference,notes
dynamic_proxy_2026-07-13_v2,lapse,income,proportional_hazard_cloglog,signed,beta_moneyness,-1.5,-1.5,-1.5,log_hazard_coefficient,2026-07-13,uncalibrated_proxy,"Knoller, Kraut and Schoenmaekers (2016) supports direction; repository magnitude",Signed guarantee moneyness reduces Full Withdrawal when the remaining income guarantee is valuable; coefficient retained as an uncalibrated proxy.
dynamic_proxy_2026-07-13_v2,lapse,income,proportional_hazard_cloglog,signed,beta_log_premium,0,0,0,log_hazard_coefficient,2026-07-13,uncalibrated_proxy,Model-risk simplification,Set to zero because no portfolio experience supports premium-size or interaction effects.
dynamic_proxy_2026-07-13_v2,lapse,income,proportional_hazard_cloglog,signed,beta_interaction,0,0,0,log_hazard_interaction_coefficient,2026-07-13,uncalibrated_proxy,Model-risk simplification,Set to zero because no portfolio experience supports premium-size or interaction effects.
dynamic_proxy_2026-07-13_v2,lapse,income,proportional_hazard_cloglog,signed,output_floor,0,0,0,annual_conditional_probability,2026-07-13,uncalibrated_proxy,Repository dynamic-lapse proxy,"Fixed shape/bound parameter shared by low, base and high behaviour levels."
dynamic_proxy_2026-07-13_v2,lapse,income,proportional_hazard_cloglog,signed,output_cap,0.30,0.20,0.40,annual_conditional_probability,2026-07-13,uncalibrated_proxy,Actuarial model-risk bound,Directional annual Full-Withdrawal probability cap; low/base/high differ only in behaviour level.
dynamic_proxy_2026-07-13_v2,lapse,income,proportional_hazard_cloglog,signed,multiplier_floor,0.20,0.20,0.20,dimensionless_multiplier,2026-07-13,uncalibrated_proxy,Repository dynamic-lapse proxy,"Fixed shape/bound parameter shared by low, base and high behaviour levels."
dynamic_proxy_2026-07-13_v2,lapse,income,proportional_hazard_cloglog,signed,multiplier_cap,3,3,3,dimensionless_multiplier,2026-07-13,uncalibrated_proxy,Repository dynamic-lapse proxy,"Fixed shape/bound parameter shared by low, base and high behaviour levels."
dynamic_proxy_2026-07-13_v2,performance_lapse,all,competing_risk_excess_hazard,positive_part,retention_gamma,1.5,1.5,1.5,per_natural_log_moneyness,2026-07-13,uncalibrated_proxy,Repository performance-lapse proxy,Shape parameter for the Base and High performance-lapse proxy; it has no effect in Low because excess_hazard_cap is zero.
dynamic_proxy_2026-07-13_v2,performance_lapse,all,competing_risk_excess_hazard,positive_part,retention_floor,0.20,0.20,0.20,dimensionless_multiplier,2026-07-13,uncalibrated_proxy,Repository performance-lapse proxy,Shape parameter for the Base and High performance-lapse proxy; it has no effect in Low because excess_hazard_cap is zero.
dynamic_proxy_2026-07-13_v2,performance_lapse,all,competing_risk_excess_hazard,positive_part,shortfall_deadband,0.02,0.02,0.02,natural_log_return_shortfall,2026-07-13,uncalibrated_proxy,Repository performance-lapse proxy,Shape parameter for the Base and High performance-lapse proxy; it has no effect in Low because excess_hazard_cap is zero.
dynamic_proxy_2026-07-13_v2,performance_lapse,all,competing_risk_excess_hazard,positive_part,shortfall_max,0.30,0.30,0.30,natural_log_return_shortfall,2026-07-13,uncalibrated_proxy,Repository performance-lapse proxy,Shape parameter for the Base and High performance-lapse proxy; it has no effect in Low because excess_hazard_cap is zero.
dynamic_proxy_2026-07-13_v2,performance_lapse,all,competing_risk_excess_hazard,positive_part,excess_hazard_cap,0.08,0,0.08,annual_integrated_hazard,2026-07-13,uncalibrated_proxy,Cap-gap response proxy; no experience calibration,Low disables the additional cause; Base and High activate the existing asymptotic 8% integrated performance-lapse hazard.
dynamic_proxy_2026-07-13_v2,performance_lapse,all,competing_risk_excess_hazard,positive_part,excess_hazard_scale,0.08,0.08,0.08,natural_log_return_shortfall,2026-07-13,uncalibrated_proxy,Repository performance-lapse proxy,Shape parameter for the Base and High performance-lapse proxy; it has no effect in Low because excess_hazard_cap is zero.
dynamic_proxy_2026-07-13_v2,performance_lapse,all,competing_risk_excess_hazard,positive_part,annual_probability_cap,0.30,0.20,0.40,annual_conditional_probability,2026-07-13,uncalibrated_proxy,Actuarial model-risk bound,Directional cap on combined annual Full-Withdrawal probability.
dynamic_proxy_2026-07-13_v2,performance_lapse,all,competing_risk_excess_hazard,positive_part,log_moneyness_max,1.3862943611198906,1.3862943611198906,1.3862943611198906,natural_log_ratio,2026-07-13,uncalibrated_proxy,Repository performance-lapse proxy,Shape parameter for the Base and High performance-lapse proxy; it has no effect in Low because excess_hazard_cap is zero.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,beta_moneyness,4,4,4,log_hazard_coefficient,2026-07-13,uncalibrated_proxy,SOA 2018 survey supports direction; repository magnitude,Guarantee-value moneyness is the sole dynamic take-up slope in the parsimonious no-experience basis.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,beta_log_premium,0,0,0,log_hazard_coefficient,2026-07-13,uncalibrated_proxy,Model-risk simplification,"Set to zero to avoid unsupported size, return and overlapping performance covariates without experience data."
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,beta_interaction,0,0,0,log_hazard_interaction_coefficient,2026-07-13,uncalibrated_proxy,Model-risk simplification,"Set to zero to avoid unsupported size, return and overlapping performance covariates without experience data."
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,beta_log_account_value,0,0,0,log_hazard_coefficient,2026-07-13,uncalibrated_proxy,Model-risk simplification,"Set to zero to avoid unsupported size, return and overlapping performance covariates without experience data."
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,beta_prospective_income_ratio,0,0,0,log_hazard_coefficient_per_income_to_premium,2026-07-13,uncalibrated_proxy,Model-risk simplification,"Set to zero to avoid unsupported size, return and overlapping performance covariates without experience data."
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,beta_reference_return,0,0,0,log_hazard_coefficient_per_return,2026-07-13,uncalibrated_proxy,Model-risk simplification,"Set to zero to avoid unsupported size, return and overlapping performance covariates without experience data."
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,beta_credited_return,0,0,0,log_hazard_coefficient_per_return,2026-07-13,uncalibrated_proxy,Model-risk simplification,"Set to zero to avoid unsupported size, return and overlapping performance covariates without experience data."
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,beta_performance_gap,4,4,4,log_hazard_coefficient_per_log_return_gap,2026-07-13,uncalibrated_proxy,Cap-gap response proxy; no experience calibration,"A positive visible trailing cap gap accelerates voluntary Income Election; the fixed coefficient is an uncalibrated proxy and is not varied across directional behaviour levels."
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,output_floor,0,0,0,annual_conditional_probability,2026-07-13,uncalibrated_proxy,Repository dynamic take-up proxy,"Fixed bound shared by low, base and high behaviour levels."
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,output_cap,0.50,0.35,0.65,annual_conditional_probability,2026-07-13,uncalibrated_proxy,Actuarial model-risk bound,Directional annual voluntary take-up probability cap; no probability-one behavioural force is embedded.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,multiplier_floor,0.05,0.05,0.05,dimensionless_multiplier,2026-07-13,uncalibrated_proxy,Repository dynamic take-up proxy,"Fixed bound shared by low, base and high behaviour levels."
dynamic_proxy_2026-07-13_v2,income_take_up,growth,proportional_hazard_cloglog,signed,multiplier_cap,25,25,25,dimensionless_multiplier,2026-07-13,uncalibrated_proxy,Repository dynamic take-up proxy,"Fixed bound shared by low, base and high behaviour levels."
dynamic_proxy_2026-07-13_v2,free_withdrawal_utilisation,growth,fractional_logit,positive_part,beta_moneyness,0,0,0,log_odds_coefficient,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase partial-withdrawal assumption.
dynamic_proxy_2026-07-13_v2,free_withdrawal_utilisation,growth,fractional_logit,positive_part,beta_log_premium,0,0,0,log_odds_coefficient,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase partial-withdrawal assumption.
dynamic_proxy_2026-07-13_v2,free_withdrawal_utilisation,growth,fractional_logit,positive_part,beta_interaction,0,0,0,log_odds_interaction_coefficient,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase partial-withdrawal assumption.
dynamic_proxy_2026-07-13_v2,free_withdrawal_utilisation,growth,fractional_logit,positive_part,beta_mva,0,0,0,log_odds_coefficient_per_mva_fraction,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase partial-withdrawal assumption.
dynamic_proxy_2026-07-13_v2,free_withdrawal_utilisation,growth,fractional_logit,positive_part,output_floor,0,0,0,fraction,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase partial-withdrawal assumption.
dynamic_proxy_2026-07-13_v2,free_withdrawal_utilisation,growth,fractional_logit,positive_part,output_cap,1,1,1,fraction,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase partial-withdrawal assumption.
dynamic_proxy_2026-07-13_v2,excess_withdrawal_rate,all,fractional_logit,signed,beta_moneyness,-0.5,-0.5,-0.5,log_odds_coefficient,2026-07-13,uncalibrated_proxy,NAIC QIS II experience supports direction; repository magnitude,"A less valuable guarantee increases expected Income-phase excess withdrawal; the signed coefficient magnitude is an uncalibrated proxy."
dynamic_proxy_2026-07-13_v2,excess_withdrawal_rate,all,fractional_logit,signed,beta_log_premium,0,0,0,log_odds_coefficient,2026-07-13,uncalibrated_proxy,SOA/LIMRA 2015 experience supports simplification; no internal calibration,"Set to zero because no experience data support premium-size or interaction effects for excess withdrawals."
dynamic_proxy_2026-07-13_v2,excess_withdrawal_rate,all,fractional_logit,signed,beta_interaction,0,0,0,log_odds_interaction_coefficient,2026-07-13,uncalibrated_proxy,SOA/LIMRA 2015 experience supports simplification; no internal calibration,"Set to zero because no experience data support premium-size or interaction effects for excess withdrawals."
dynamic_proxy_2026-07-13_v2,excess_withdrawal_rate,all,fractional_logit,signed,beta_mva,-2,-2,-2,log_odds_coefficient_per_mva_fraction,2026-07-13,uncalibrated_proxy,Contractual economic-friction proxy,A current MVA bite reduces expected Income-phase excess-withdrawal utilisation; coefficient remains uncalibrated.
dynamic_proxy_2026-07-13_v2,excess_withdrawal_rate,all,fractional_logit,signed,output_floor,0,0,0,fraction,2026-07-13,uncalibrated_proxy,Fractional-logit support,"Output support bound shared by low, base and high behaviour levels."
dynamic_proxy_2026-07-13_v2,excess_withdrawal_rate,all,fractional_logit,signed,output_cap,1,1,1,fraction,2026-07-13,uncalibrated_proxy,Fractional-logit support,"Output support bound shared by low, base and high behaviour levels."
