"Kapitel/Fundstelle","Aussage oder Kennzahl","Typ: Produktfakt / Modellannahme / Ergebnis / Interpretation","Primärquelle","Prüfstatus","Befund","erforderliche Änderung"
"3.3","Partial-10-Payoff für negative Rendite min(0,R+10 %)","Modellannahme","AGILE PDS, S. 26–27; crediting.py","BESTÄTIGT","−18 % ergibt −8 %.","Keine."
"3.3","Payoffformeln bilden den gesamten Vertrag ab","Produktfakt","AGILE PDS, S. 58, 60 und 62","KORRIGIERT","PDS erlaubt für Total Protection einen garantierten Fixed Return mit pro-rata DVA; Engine-Zweig fehlt.","Fixed-Return-Ausnahme und Production-Lücke ergänzen."
"3.4","TP ist Call(1)−Call(1+C); PP10 zusätzlich short Put(0,90)","Modellannahme","crediting.py Z. 119 ff.; Black/Scholes 1973; Merton 1973","BESTÄTIGT","Algebraisch korrekte statische Replikation des marktgebundenen Credit-Payoffs.","Scope auf marktgebundenen Zweig begrenzen."
"3.5; 10.1","Mann 65, Single Fixed, fünf Growth-Jahre: 7,05 % + 5×0,35 % = 8,80 %","Produktfakt","AGILE Lifetime Income Rates Jul26, S. 1","BESTÄTIGT","Basisrate stimmt exakt.","Keine."
"3.5","Rating erfolgt nach Alter/Gender am Product Commencement Date","Produktfakt","AGILE PDS, S. 18–19; Ratecard S. 1–2","BESTÄTIGT","Nicht Income-Start-Alter; nur vollständige Growth-Jahre zählen.","Keine."
"3.5","Bei Spouse bestimmt das jüngere Leben einschließlich Gender die Rate","Produktfakt","AGILE PDS, S. 18–19; Ratecard S. 1–2","BESTÄTIGT MIT OFFENEM RAND","Equal-age-Tie-Regel öffentlich nicht dokumentiert.","Tie-Regel als OFFEN kennzeichnen."
"3.5","Nicht ganzzahlige Ratingalter werden linear interpoliert","Modellannahme","product.py; öffentliche Ratecard nur Alter 50–80 ganzzahlig","OFFEN","Engine interpoliert; öffentliche Produktquelle bestätigt dies nicht.","Für Production Adminregel/Certificate einholen; nicht als Produktfakt ausgeben."
"3.6","Fixed bleibt nominal konstant; Rising ratchetiert mit positivem AUS-TP-Credit","Produktfakt","AGILE PDS, S. 20–22 und 73–75","BESTÄTIGT MIT EINSCHRÄNKUNG","Vorbehaltlich Excess Withdrawals; Fixed-Return-Zweig kann Annual Return bestimmen.","Einschränkungen nennen."
"3.7; 10.3","Product Fee 0,30 % p.a. und LIP 1,15 % p.a.","Produktfakt","AGILE PDS, S. 41–42","BESTÄTIGT","Tägliches Accrual auf IV ohne DVA/accruals; Event-Deduction.","Keine Zahlenänderung."
"3.7","Fees bleiben vertraglich über die gesamte Laufzeit unverändert","Modellannahme","AGILE PDS, S. 42; product.py","KORRIGIERT","PDS enthält begrenztes Änderungsrecht mit Notice; Engine hält Sätze konstant.","Konstanz ausdrücklich als Modellannahme ausweisen."
"3.8","Free Withdrawal Amount 5 % des initial Investment Amount, kein Carry-forward","Produktfakt","AGILE PDS, S. 31–33","BESTÄTIGT","Gilt Growth Phase ohne Age Pension+.","Scope ergänzen."
"3.8","AUD-100-Minimum, 95-%-Einzel-/Jahreslimits, AUD-2.000-Restwert","Produktfakt","AGILE PDS, S. 31–35","BESTÄTIGT, IM AUSGANGSPAPER UNVOLLSTÄNDIG","Wesentliche Withdrawal-Limits fehlten in der Produktdarstellung.","Limits ergänzen."
"3.8","MVA kann in den ersten zehn Jahren auf Excess/Full Withdrawals wirken; keine MVA auf Death","Produktfakt","AGILE PDS, S. 31–33, 38–40 und 60–61","BESTÄTIGT","Grundmechanik stimmt.","Keine."
"3.8","Engine-MVA-Formel ist Allianz-Produktionsformel","Modellannahme","product.py MVASpec; PDS S. 60–61","KORRIGIERT","Unkalibrierter Zins-/Loading-Proxy; Default-Loadings null und PDS-No-rate-move-Tabelle nicht automatisch reproduziert.","Proxycharakter und Quote-Kalibrierungsbedarf verstärken."
"3.8","DVA ist die tatsächliche Year-to-date-Indexrendite","Produktfakt","AGILE PDS, S. 62–63","KORRIGIERT","DVA ist Derivatewert mit vertraglichen pro-rata Mindestwerten; nicht realisierte YTD-Rendite.","Detailquelle und Floor-/Fixed-Return-Zweige ergänzen."
"3.8","Engine-DVA pz=P+Vpackage bildet vertragliche DVA vollständig ab","Modellannahme","projection.py; crediting.py; PDS S. 62–63","KORRIGIERT","Hedgewertproxy ohne pro-rata Protection Floor und Fixed-Return-Zweig.","Als Modellproxy, nicht Adminformel, kennzeichnen."
"3.9","Death Benefit ist grundsätzlich positives IV zum Zahlungszeitpunkt, ohne MVA","Produktfakt","AGILE PDS, S. 24–25 und 38–40","BESTÄTIGT MIT AUSNAHMEN","Age-Pension+-Death-Cap und Spouse-Pfad können begrenzen/ändern.","Ausnahmen sichtbar nennen."
"3.9","Bei Spouse kann Income fortgesetzt oder Lump Sum gewählt werden","Produktfakt","AGILE PDS, S. 22 und 38–40","BESTÄTIGT MIT DEFAULT-PRÄZISIERUNG","Berechtigte Partei hängt vom Investor-Pfad ab; ohne Instruktion Fortsetzung.","Ownership/Eligibility/Default ergänzen."
"3.9","Age-Pension+-MWV fällt linear bis Life Expectancy und wird um Withdrawals reduziert","Produktfakt","AGILE PDS, S. 65–70","BESTÄTIGT","Paperformel ist als vereinfachte Modellgleichung sachgerecht.","Basis/Elapsed/Withdrawals definieren."
"3.9","Age-Pension+-Maximum Benefit on Death folgt derselben glatten Linie wie MWV","Produktfakt","AGILE PDS, S. 66–68; product.py","KORRIGIERT","Bis Half LE volle Basis; dann unmittelbarer Sprung auf MWV und linearer Runoff.","Separate Death-Cap-Regel ergänzen."
"3.9","Age Pension+ kann jederzeit frei gewählt und begonnen werden","Produktfakt","AGILE PDS, S. 15–17","KORRIGIERT","Election und Commencement sind funding-/release-/age-spezifisch und unwiderruflich; Non-superannuation-Trustee-/Company-Investors sind grundsätzlich ausgeschlossen, außer Non-super-Platform-Trustees.","Zeitpunkt, Funding Source und konkrete Eligibility ergänzen."
"3.9","Age-Pension+-Ratecard ist unabhängig von späterer CAS-Änderung fix","Produktfakt","AGILE PDS, S. 15; Ratecard S. 1–2","KORRIGIERT","Allianz behält Update bei CAS-Änderung bis Option Commencement vor.","CAS-Vintage/Ratecard-Vorbehalt ergänzen."
"8.3","APRA-PCA umfasst Insurance, Asset, Concentration, Operational, Aggregation und Combined Stress","Produktfakt","LPS 110; LPS 114; LPS 115; LPS 117; LPS 118","BESTÄTIGT; QUELLEN ERGÄNZT","Ausgangspapier belegte nur 110/114.","Alle fünf Primärstandards zitieren und Unterschiede erläutern."
"8.3","LPS 114 gilt aktuell ab 1. Juli 2026","Produktfakt","APRA LPS 114","BESTÄTIGT","Aktuelle Fassung verifiziert.","Keine."
"8.3","AGILE fällt sicher unter LPS 110 Attachment A Variable Annuities","Interpretation","LPS 110 Attachment A; öffentliches PDS","OFFEN","Funktionale FIA-/GLWB-Analogie beweist keine APRA-Klassifikation.","AGILE-spezifische Klassifikation offenlassen."
"Literatur; deng2017","Deng-Autorenvornamen Guowei und Yan-Vorname Meng; DOI 10.21314/JCF.2017.331","Produktfakt","Offizielle Risk.net-Artikelseite; Crossref; doi.org/doiRA","KORRIGIERT – HOCH","Publisher nennt Geng Deng und Mike Yan; DOI-String war am 11.07.2026 nicht registriert.","Vornamen korrigieren; DOI-Feld entfernen; Publisher-URL verwenden."
"Literatur; fang2008","Publikationsjahr 2008","Produktfakt","SIAM Publisher; Crossref","BESTÄTIGT MIT DATUMSNOTIZ","Online-first/Copyright 2008, Crossref issue date 2009.","Online-Datum 14.11.2008 notieren."
"Literatur; Actuaries Institute 2024","Actuaries Institute als Körperschaftsautor","Produktfakt","Original Technical Paper, S. 2","PRÄZISIERT","Retirement Incomes Working Group ist erstellende Gruppe.","Körperschaftsurheber präzisieren."
"Anhang D; lokaler Index A19","DOI 10.1016/j.insmatheco.2024.04.001 gehört zu Benefit Volatility-Targeting","Produktfakt","Crossref; Elsevier VOR","FALSCH – HOCH","Korrekt ist 10.1016/j.insmatheco.2024.05.006; alter DOI gehört zu anderem Paper.","Fehler im Review dokumentieren; nicht übernehmen."
"Anhang D; lokale Datei B3","Datei ist Bégin/Sanders/Sun-Journalpaper","Produktfakt","Lokale Datei; SFU-Thesis; Cambridge VOR","FALSCH – HOCH","Lokale Datei ist Yingfei Suns MSc-Thesis; echte VOR 2026 ASTIN 56(2), 389–419, DOI 10.1017/asb.2026.10090.","Metadatenrisiko konkret korrigieren."
"Literaturcluster Fair Fees","Fremde Fair-Fee-/Sensitivitätswerte werden auf AGILE übertragen","Interpretation","Geprüfte Originalpublikationen und Papertext","NICHT FESTGESTELLT","Keine unzulässige Zahlenübertragung; qualitative Scope-Grenzen bei Goudenège/Mortality nötig.","Literaturaussagen ausdrücklich auf zitierte Modellstudien begrenzen."
"4.3","Monatliches Event Ordering: Credit/Ratchet, Fees, Election, Death, Income, Withdrawals, Lapse","Modellannahme","projection.py Z. 625–860; Tests","BESTÄTIGT","Reihenfolge entspricht ausgeführtem Code; materiell für Bases/Cashflows.","Keine."
"5.1","Q wird für Bewertung/BEL und P für Profit/Outcomes verwendet","Modellannahme","pricing.py; profitability.py; esg.py","BESTÄTIGT","Maße im Code getrennt; P/Q teilen jedoch Heston-/HW-Dynamik außer Equity Drift.","Gemeinsame Vol-/Rate-Dynamik als Limitation beibehalten."
"5.1","PV eines Cashflowstroms ist E_Q[D_t CF_t] ohne Summe","Modellannahme","pricing.py; Projektionscashflows","PRÄZISIERT","Für mehrere Zeitpunkte ist die Summe über t erforderlich.","Formel auf E_Q[Σ D_t CF_t] erweitern."
"5.2","Zero Curve linear in Zero Rates, flache Extrapolation; P(0,t)=exp(−z(t)t)","Modellannahme","curves.py; Manifest","BESTÄTIGT","Basiscurve 3,80/3,90/4,10/4,30/4,40/4,40 % stimmt.","Keine."
"5.3","Return-Index-Carry ist null; v1.2-4/2-%-Carries zählten Dividenden doppelt","Modellannahme","PDS-Indexdefinitionen; esg.py/product.py; unabhängiger Carry-Gegenlauf","BESTÄTIGT","AUS Total Return und Global Net Return; 1.3-Default null.","Gegenlauf künftig separat manifestieren."
"5.4","Heston Full-Truncation/Log-Euler mit vier Substeps pro Monat","Modellannahme","esg.py; Manifest","BESTÄTIGT","Beschreibung entspricht Code.","Keine."
"5.5","Hull–White-Zweig ist exakte gemeinsame Simulation für Rates/Equity","Modellannahme","esg.py; Tests","BESTÄTIGT FÜR BS–HW-SCHEMA","Term-structure-/martingale checks vorhanden; Heston–HW bleibt hybrid.","Scope nicht auf Heston–HW übertragen."
"5.6","Heston–HW Gaussian add-on ist unabhängige positive Varianz und exakte Komposition","Modellannahme","crediting.py; esg.py rate_gauss_var; METHODOLOGY; test_heston_cos.py","FALSCH – HOCH","Default w=−2,3260e−4 wegen Cross-Term; rohe negative Größe im CF-Faktor, nur Truncation-Intervall clippt; Test deckt positiven BS-Grenzfall.","„Exact composition“ streichen; Heston–HW als hybride Näherung ausweisen und Joint-MC-Benchmark fordern."
"5.6","Frühere Effective-Vol-Näherung unterschätzte AUS-TP-Package um rund 35 bp p.a. im lokalen Test","Ergebnis","AUDIT_REPORT; METHODOLOGY; test_heston_cos.py","BESTÄTIGT ALS ENGINESPEZIFISCH","Kein allgemeiner Marktparameter.","Lokalen Scope beibehalten."
"6.1","Gompertz–Makeham, generational Improvement 1,25 %, Monats-q","Modellannahme","mortality.py; Manifest","BESTÄTIGT","Synthetische, nicht ALT-/Allianz-Basis; Cat add-on/Clips zusätzlich.","Illustrativen Status beibehalten."
"6.2","Last-survivor p=p1+p2−p1p2 bei Unabhängigkeit","Modellannahme","mortality.py","BESTÄTIGT","Formel korrekt.","Unabhängigkeitsannahme benennen."
"6.2; 9.4","Joint Life wird überall ab tatsächlicher Income Election konditioniert","Modellannahme","projection.py; lsmc.py","TEILWEISE FALSCH – MITTEL","Monatsmotor konditioniert ab Election; LSMC bildet Last-survivor ab Issue und trackt Spouse bis Election nicht konsistent.","LSMC-Joint-Life nicht als gleichwertigen Benchmark darstellen."
"6.3","Dynamic-Lapse-Moneyness ist PV Guarantee/Surrender Value","Modellannahme","behavior.py; projection.py","BESTÄTIGT MIT PFADABWEICHUNG","Anniversary korrekt; Off-anniversary Election nutzt IV bis nächsten Anniversary. PV-Zähler ist Annuitätenfaktor-/10Y-Zero-Proxy.","Proxy und Off-anniversary-Inkonsistenz offenlegen."
"7.2","Non-unit BEL = Claims+Expenses−Product Fee−LIP−CM−MVA−Age Pension+","Ergebnis","pricing.py; pv_components.csv","BESTÄTIGT","Formel und Vorzeichen exakt.","Keine."
"7.2","Gross VNB = −Non-unit BEL","Ergebnis","pricing.py; executive_kpis.csv","BESTÄTIGT","Floating-Point-Differenz 9,09e−13 AUD.","Keine."
"7.2","bel_total ist regulatorischer Total BEL/Unit Reserve","Interpretation","pricing.py; PDS","KORRIGIERT","Engine-Konvention P0+non-unit; AGILE ist nicht unit-linked und Größe ist kein APRA/AASB/IFRS-Ergebnis.","Interne Konvention ausdrücklich qualifizieren."
"7.3","Guarantee Value = Claims−LIP; Fair LIP löst GV=0 mit CRN/Brent","Ergebnis","pricing.py; pv_components.csv","BESTÄTIGT","Root-Residual etwa −AUD 0,054; kein Gesamtprodukt-Break-even.","Fehlendes MC-Fehlermaß nennen."
"7.4","pz(s)≤1 allgemein","Modellannahme","crediting.py; projection.py; ausgeführter BS-Pricer","FALSCH – MITTEL","Basis-Cap: 0,9917909; Cap 50 %: 1,0449739. Margin kann negativ sein.","Ungleichung auf finanzierbaren Basisfall begrenzen."
"7.5","Q-Identity-Gap beweist Vertragsrichtigkeit","Interpretation","projection.py; reconciliations.csv","KORREKT EINGESCHRÄNKT","Nur interne Cashflow-/Finanzierungsreconciliation, kein Admin-/Kalibrierungsbeweis.","Einschränkung beibehalten."
"7.5; 11.2","Identity PASS-Schwelle ist das in CSV gezeigte 1,96×SE","Ergebnis","run_insurer_analysis.py; reconciliations.csv","FALSCH – NIEDRIG","CSV zeigt 0,1946 %, Test nutzt max(0,25 %,3SE)=0,2978 %; Gap liegt unter beiden.","Tatsächliche PASS-Regel dokumentieren."
"8.1","Standalone SCR=max(0,NAVbase−NAVstress), Aggregation sqrt(s'Cs)","Modellannahme","capital.py; capital_proxy.csv; Manifest","BESTÄTIGT","BSCR 17.205,2994 algebraisch reproduziert.","Als Research-Proxy kennzeichnen."
"8.2","Risk Margin = 6 % auf Life-SCR-Runoff, Markt als hedgebar ausgeschlossen","Modellannahme","capital.py; profit_runoff.csv; Manifest","BESTÄTIGT","RM 4.687,2625 exakt rekonstruiert; keine APRA-RM.","Keine Zahlenänderung."
"8.4–8.5","PVFP-Steuer ist 30 % mit Verlustvortrag/Recoverability","Modellannahme","profitability.py Z. 238–255","FALSCH – MITTEL","(1−tax)×profit wirkt symmetrisch und sofort auch bei Verlusten; kein DTA/Tax-Loss-Carry.","Symmetrische sofortige Steuerentlastung offenlegen."
"9.3","Berichteter LSMC-Wert ist strikter numerischer Lower Bound","Interpretation","lsmc.py Z. 430–441, 591–598","ÜBERZOGEN – MITTEL","Population value einer fixen admissible policy ist Lower Bound; MC-Schätzer plus samplebasierter max(opt,static)-Fallback kann Selection Bias haben.","Statistisch qualifizieren; separate Validation/Test-Samples empfehlen."
"9.4","LSMC hat denselben Tailhorizont/Joint-Life-Scope wie Monatsmotor","Modellannahme","lsmc.py; projection.py","FALSCH – MITTEL","LSMC Default Alter 105/max. 40 Jahre, 30Y-Zero-Tail, max(account,income×AF), Joint Life ab Issue; Static Policy ist nicht der vollständige Monatsmotor.","Grenzen und fehlende Like-for-like-Vergleichbarkeit vollständig ergänzen."
"10.4","Pfadzahlen: 4.000/1.200/1.500/600/2.500/600/800","Modellannahme","run_manifest.json; Runner","BESTÄTIGT","Alle Blockpfadzahlen stimmen.","Keine."
"11.1","Gross VNB −1.227,6468; SE 42,2495; 95-%-Halbintervall 82,8090","Ergebnis","executive_kpis.csv; unabhängige Cashflowmatrix-Nachrechnung","BESTÄTIGT","Nur Marktpfad-Sampling; Mortalität/Lapse als Gewichte.","Managementdarstellung runden und Scope des SE nennen."
"11.1–11.2","Non-unit BEL +1.227,6468; GV 10.079,7392; Fair LIP 3,0041561 %","Ergebnis","executive_kpis.csv; pv_components.csv","BESTÄTIGT","Exakt reconciliert; Fair-LIP-MC-Fehler fehlt.","Mehrdezimalstellen nicht als statistische Genauigkeit ausgeben."
"11.2","Waterfall ergibt Gross VNB aus 2.269,8434+8.701,0665+9.923,4505+217,3672−18.780,8056−3.558,5689","Ergebnis","pv_components.csv","BESTÄTIGT","Summe −1.227,6468.","Keine."
"11.2","Kundenleistungs-PV 97.500,1553; finanziert 99.831,0774; Gap −168,9226/−0,1689 %","Ergebnis","pv_components.csv; reconciliations.csv","BESTÄTIGT","Direkt nachgerechnet.","PASS-Schwelle präzisieren."
"11.3","Interest Down 15.812,6571; Life SCR 3.896,0212; BSCR 17.205,2994","Ergebnis","capital_proxy.csv; Manifest-Korrelationen","BESTÄTIGT","Quadratische Aggregation exakt.","Keine."
"11.4","Time-0 Strain, Max BEL/Capital, Payback 23, terminal +27.526","Ergebnis","profit_runoff.csv","BESTÄTIGT","Alle Jahre/Maxima korrekt gerundet.","Tax-Annahme ergänzen."
"11.4","PVFP −12.898,9599; IRR 3,5191988 %; Payback 23","Ergebnis","profit_runoff.csv; direkte NPV-/IRR-Nachrechnung","BESTÄTIGT","Ein IRR-Vorzeichenwechsel im abgesuchten Engine-Bereich.","Runden; fehlendes MC-Fehlermaß nennen."
"11.5","Alle 16 Sensitivitätszeilen und Deltas","Ergebnis","sensitivities.csv","BESTÄTIGT","Rundungen stimmen; capital_included=False in jeder Zeile.","Scope beibehalten."
"11.5","„Expenses +10 %“ stresst alle Expenses","Ergebnis","sensitivities.py; sensitivities.csv","FALSCH – MITTEL","Nur maintenance_per_policy und maintenance_pct_of_iv ×1,1; Acquisition/Commission unverändert.","In Maintenance Expenses +10 % umbenennen."
"11.5","Excess Withdrawals 2 % ist isolierter Stress","Ergebnis","Runner; sensitivities.csv","KORREKT EINGESCHRÄNKT","Setzt zugleich Free Utilisation 100 %.","Hinweis beibehalten."
"11.6","Outcome Seed 2027","Ergebnis","outcome_quantiles(); CSVs","BESTÄTIGT","Tatsächlich settings.seed+1.","Manifestabweichung ergänzen."
"11.6; Manifest","Outcome-Manifestseed 2026 ist effektiver Simulationsseed","Ergebnis","run_manifest.json; Runner","FALSCH – MITTEL","Manifest serialisiert Ausgangsseed 2026, Simulation nutzt 2027.","effective_simulation_seed manifestieren."
"11.6","IV-/Income-Quantile und 50-%-Erschöpfung Alter 84","Ergebnis","customer_outcome_quantiles.csv","BESTÄTIGT","Alle Tabellenpunkte korrekt; rohe Marktstates, In-force separat.","Keine."
"11.7","Spouse Fixed/Rising Rate 7,70/4,55 %","Ergebnis","product_designs.csv; Runner; Juli-Ratecard Female 63","BESTÄTIGT MIT FEHLENDEM INPUT","Runner setzt Frau 63 und continue_income.","Modellpunkt vor Tabelle offenlegen."
"11.7","Age-Pension+-Design CAS-LE 20 Jahre","Modellannahme","Runner; product_designs.csv","BESTÄTIGT","Illustrativer Input, keine Vertrags-/Best-Estimate-Zahl.","Illustrativen Status beibehalten."
"11.8","Income-Timing-Zeilen 1/3/5/10/15 Jahre","Ergebnis","income_start_timing.csv","BESTÄTIGT","Raten, Start-Income, VNB, GV, Customer PV stimmen.","Keine."
"11.9","Behaviour-/Withdrawal-Flächen","Ergebnis","behaviour_takeup_lapse.csv; behaviour_withdrawals.csv","BESTÄTIGT","Alle berichteten Zellen/Endpunkte stimmen.","Als Mechanik, nicht Experience-Schätzung, beibehalten."
"11.10","Modellspanne 3.126,9807 und Verhältnis zum Basis-95-%-Halbintervall","Ergebnis","model_comparison.csv; executive_kpis.csv","BESTÄTIGT MIT INTERPRETATIONSKORREKTUR","Quotient 37,761≈38; Modelle nur 600 Pfade ohne eigene SEs, daher kein reiner Model-Risk-Schätzer.","38 nennen und Vergleich stark qualifizieren."
"11.10","Fünf-Seed-Mittel −1.209,328; SD 96,636; mittlerer SE 96,627","Ergebnis","mc_seed_stability.csv","BESTÄTIGT","Positives Plausibilitätssignal, n=5 unzureichend für Konvergenz.","Keine."
"11.11","Greek NAV 2.330,922; Delta 0,000504; Vega 0,001159; Rho 0,103904","Ergebnis","market_greeks.csv; reproduzierter Workaround","BESTÄTIGT","Bitgenau; NAV schließt Expenses aus.","Equity-Delta-Einheit dNAV/dscale/premium explizit erklären."
"11.12","V1.2→V1.3-Deltas","Ergebnis","beide executive_kpis/pv_components CSVs","BESTÄTIGT","Alle zehn Tabellenzeilen korrekt gerundet.","Als Versionsattribution, nicht reines Implementation Risk, bezeichnen."
"11.12","Carry-Gegenlauf +AUD 1.879 und isolierter Delta −AUD 3.107","Ergebnis","unabhängiger 1.3-Gegenlauf mit Product-/ESG-Carry 4/2 %","BESTÄTIGT, ABER NICHT ARCHIVIERT","Werte +1.879,3178 und −3.106,9647 reproduziert; kein eigenes Manifest/CSV im Pack.","Gegenlauf künftig versioniert archivieren."
"12.1","122 Tests bestanden in 108,24 s","Ergebnis","python -m pytest -p no:cacheprovider -q","ANZAHL BESTÄTIGT; LAUFZEIT NICHT REPRODUZIERT","122 passed, Exit 0, 140,13 s; Laufzeit lastabhängig.","Aktuell gemessene Laufzeit berichten; historische als solche kennzeichnen."
"12.4","Unveränderter Standard-Runner funktioniert","Ergebnis","Direktlauf mit Originalpfaden","FALSCH – HOCH","Exit 1 nach 18,5 s: FrozenInstanceError in pricing.py:260; Tests decken greeks/Runner nicht ab.","Fehler prominent belassen; Sourcefix nur empfehlen, Engine nicht ändern."
"12.4","Prozesslokaler dataclasses.replace-Workaround reproduziert Pack","Ergebnis","_review_work/runner_workaround_reproduction; Hash-/Zellvergleich","BESTÄTIGT","14 CSVs zellgenau; model_comparison fachlich identisch nur runtimes anders; 10 PNG byteidentisch; Manifest außer generated_utc identisch.","Instrumentierten, nicht unveränderten Lauf benennen."
"2.2; 12.4","Engine Source Hash attestiert Runner/Patch/Outputs","Ergebnis","source_hash() im Runner; Manifest","FALSCH – HOCH","Hash umfasst nur agile_engine/*.py; Runner, Patch, CLI, Tests, Inputs/Outputs nicht gebunden.","Run-Bundle-Manifest mit vollständigen Hashes/Provenienz-IDs fordern."
